,Word,Frequency_Score,Entropy_Score,Final_Score,Is_Real
1144,soare,1.0,0.973710856805888,0.9921132570417663,False
13919,slane,0.9525504151838672,0.9374107051118108,0.9480085021622502,True
14478,saine,0.9584816132858838,0.9226776308334494,0.9477404185501535,False
9715,seare,0.9739027283511269,0.8128520180879507,0.9255875152721741,False
5355,saice,0.930011862396204,0.9141950420810642,0.925266816301662,False
2387,slate,0.9074733096085409,0.9585809275506701,0.9228055949911796,True
5123,crane,0.9051008303677343,0.9535909613043139,0.9196478696487081,True
9605,saree,0.9679715302491103,0.7996362041386565,0.9174709324159741,False
1312,share,0.9169632265717675,0.9154864111301644,0.9165201819392866,True
9678,shale,0.9086595492289442,0.8889245433997707,0.9027390474801922,True
3958,soree,0.9596678529062871,0.7611404415374087,0.9001096294956237,True
12135,stare,0.8695136417556346,0.9629684853729257,0.8975500948408219,True
9117,stane,0.8849347568208779,0.9247656856667781,0.8968840354746479,True
2799,snare,0.8730723606168446,0.9483504866921458,0.8956557984394349,True
10874,crate,0.8600237247924081,0.9772823270992694,0.8952013054844665,True
11088,trace,0.8505338078291815,0.9808276416173927,0.8896219579656448,True
7197,brane,0.8896797153024911,0.8809306678073663,0.8870550010539537,False
2007,coate,0.863582443653618,0.9388471616259614,0.8861618590453211,False
7140,stale,0.8612099644128114,0.9359733350378069,0.88363897560031,True
7600,soave,0.9169632265717675,0.7902496309273359,0.8789491478784381,False
13254,soole,0.9430604982206405,0.7143343357871009,0.8744426494905786,False
8369,slade,0.8695136417556346,0.8767089895888103,0.8716722461055872,True
13985,shore,0.8683274021352313,0.8743464988761076,0.8701331311574942,True
13693,crone,0.8564650059311981,0.9006579339037499,0.8697228843229637,True
10466,shone,0.8837485172004745,0.8320838907026459,0.8682491292511259,True
12523,trone,0.830367734282325,0.9433794509822077,0.8642712492922897,True
10870,tiare,0.8030842230130486,1.0,0.8621589561091341,False
8061,scare,0.8362989323843416,0.9216897541079186,0.8619161789014147,True
12908,sauce,0.8612099644128114,0.86138604400306,0.8612627882898859,True
10580,brace,0.8612099644128114,0.8610529996659508,0.8611628749887532,True
2520,soote,0.9217081850533808,0.7192392855681964,0.8609675152078254,False
3245,slice,0.8588374851720048,0.8659305163079454,0.8609653945127869,True
1622,seine,0.9240806642941874,0.7122843785700701,0.8605417785769522,True
12841,saute,0.8446026097271648,0.8939429969691568,0.8594047258997625,True
12566,spare,0.8446026097271648,0.887608620870056,0.8575044130700322,True
12854,spane,0.8600237247924081,0.8508619367894861,0.8572751883915315,True
11597,crare,0.8896797153024911,0.7804174771328696,0.8569010438516047,True
10161,shire,0.8517200474495848,0.8688046935527877,0.8568454412805457,True
9708,crine,0.8398576512455516,0.8854389087611075,0.8535320285002184,True
2587,prase,0.8362989323843416,0.8935802214632279,0.8534833191080076,True
10753,siree,0.8956109134045077,0.7534083277976276,0.8529501377224437,False
12002,roate,0.7959667852906287,0.9850151269417429,0.8526812877859629,False
3986,shine,0.867141162514828,0.8185966401167523,0.8525778057954053,True
12922,slake,0.8623962040332147,0.8232815023642139,0.8506617935325145,True
10452,prate,0.8161328588374852,0.9288522297885757,0.8499486701228124,True
7804,store,0.8208778173190985,0.9148181797875924,0.8490599260596468,True
12563,trine,0.8137603795966786,0.9302788775741256,0.8487159289899127,True
1970,scale,0.8279952550415184,0.8959138526719918,0.8483708343306604,True
1665,sacre,0.8102016607354685,0.9361225524855715,0.8479779282604994,False
13650,snore,0.8244365361803084,0.9023350659367751,0.8478060951072485,True
5563,sease,0.9644128113879004,0.5737237051262476,0.8472060795094045,False
11958,sonce,0.8434163701067615,0.8557844857877132,0.847126804811047,False
5872,stone,0.8362989323843416,0.8714267861007957,0.8468372884992779,True
10536,saint,0.8327402135231317,0.8729105856287998,0.844791325154832,True
10497,spale,0.8362989323843416,0.861999959190852,0.8440092404262947,True
4270,stoae,0.8185053380782918,0.9021484874843838,0.8435982829001194,False
11968,slant,0.8268090154211151,0.8826958151187814,0.8435750553304149,True
6342,souce,0.8529062870699882,0.8188256733569074,0.8426821029560638,False
14373,slart,0.8113879003558719,0.9153372121075678,0.8425726938813807,True
10607,salet,0.797153024911032,0.9426534124356231,0.8408031411684094,False
2592,sooey,0.9359430604982206,0.6174621693878588,0.8403987931651121,False
13725,frate,0.8208778173190985,0.8835694008729031,0.8396852923852399,False
8314,shote,0.8386714116251482,0.840430885349985,0.8391992537425992,True
4215,shade,0.8493475682087782,0.8134409182211765,0.8385755732124976,True
13703,sware,0.8362989323843416,0.8427656644378464,0.838238952000393,True
13691,arose,0.7935943060498221,0.9411413670153217,0.837858424339472,True
671,trade,0.7959667852906287,0.9345551228624431,0.837543286562173,True
5105,crise,0.8149466192170819,0.8890848404098229,0.8371880855749041,False
359,slave,0.8540925266903915,0.7967789423334336,0.8368984513833041,True
14784,grate,0.8030842230130486,0.9146464849594468,0.8365529015969682,True
2991,seame,0.9015421115065243,0.6846828066794256,0.8364843200583947,False
11464,stire,0.8042704626334519,0.9102731449041421,0.836071267314659,False
10744,chare,0.8102016607354685,0.8945119929967631,0.835494760413857,True
